[INFO] 2016-12-11 16:43:56,045  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=340
[INFO] 2016-12-11 16:43:56,049  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=350
[INFO] 2016-12-11 16:43:56,053  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=360
[INFO] 2016-12-11 16:43:56,058  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=370
[INFO] 2016-12-11 16:43:56,062  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=380
[INFO] 2016-12-11 16:43:56,066  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=390
[INFO] 2016-12-11 16:43:56,071  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=400
[INFO] 2016-12-11 16:43:56,075  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=410
[INFO] 2016-12-11 16:43:56,079  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=420
[INFO] 2016-12-11 16:43:56,085  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=430
[INFO] 2016-12-11 16:43:56,091  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=440
[INFO] 2016-12-11 16:43:56,098  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=450
[INFO] 2016-12-11 16:43:56,104  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=460
[INFO] 2016-12-11 16:43:56,109  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=470
[INFO] 2016-12-11 16:43:56,117  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=480
[INFO] 2016-12-11 16:43:56,125  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=490
[INFO] 2016-12-11 16:43:56,134  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=500
[INFO] 2016-12-11 16:49:29,325  Start finding sub-domains of ['garena.com']
[INFO] 2016-12-11 16:49:30,753  Requesting to https://www.bing.com/search?q=domain:garena.com&first=1
[INFO] 2016-12-11 16:49:30,755  Requesting to https://www.bing.com/search?q=domain:garena.com&first=8
[INFO] 2016-12-11 16:49:30,757  Requesting to https://www.bing.com/search?q=domain:garena.com&first=18
[INFO] 2016-12-11 16:49:30,760  Requesting to https://www.bing.com/search?q=domain:garena.com&first=28
[INFO] 2016-12-11 16:49:30,766  Requesting to https://www.bing.com/search?q=domain:garena.com&first=38
[INFO] 2016-12-11 16:49:30,770  Requesting to https://www.bing.com/search?q=domain:garena.com&first=48
[INFO] 2016-12-11 16:49:30,776  Requesting to https://www.bing.com/search?q=domain:garena.com&first=58
[INFO] 2016-12-11 16:49:30,783  Requesting to https://www.bing.com/search?q=domain:garena.com&first=68
[INFO] 2016-12-11 16:49:30,789  Requesting to https://www.bing.com/search?q=domain:garena.com&first=78
[INFO] 2016-12-11 16:49:30,795  Requesting to https://www.bing.com/search?q=domain:garena.com&first=88
[INFO] 2016-12-11 16:49:30,802  Requesting to https://www.bing.com/search?q=domain:garena.com&first=98
[INFO] 2016-12-11 16:49:30,809  Requesting to https://www.bing.com/search?q=domain:garena.com&first=108
[INFO] 2016-12-11 16:49:30,816  Requesting to https://www.bing.com/search?q=domain:garena.com&first=118
[INFO] 2016-12-11 16:49:30,825  Requesting to https://www.bing.com/search?q=domain:garena.com&first=128
[INFO] 2016-12-11 16:49:33,193  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=0
[INFO] 2016-12-11 16:49:33,194  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=10
[INFO] 2016-12-11 16:49:33,196  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=20
[INFO] 2016-12-11 16:49:33,198  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=30
[INFO] 2016-12-11 16:49:33,200  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=40
[INFO] 2016-12-11 16:49:33,203  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=50
[INFO] 2016-12-11 16:49:33,207  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=60
[INFO] 2016-12-11 16:49:33,213  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=70
[INFO] 2016-12-11 16:49:33,219  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=80
[INFO] 2016-12-11 16:49:33,224  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=90
[INFO] 2016-12-11 16:49:33,230  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=100
[INFO] 2016-12-11 16:49:33,236  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=110
[INFO] 2016-12-11 16:49:33,240  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=120
[INFO] 2016-12-11 16:49:33,246  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=130
[INFO] 2016-12-11 16:49:33,252  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=140
[INFO] 2016-12-11 16:49:33,256  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=150
[INFO] 2016-12-11 16:49:33,263  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=160
[INFO] 2016-12-11 16:49:33,269  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=170
[INFO] 2016-12-11 16:49:33,273  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=180
[INFO] 2016-12-11 16:49:33,279  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=190
[INFO] 2016-12-11 16:49:33,283  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=200
[INFO] 2016-12-11 16:49:33,289  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=210
[INFO] 2016-12-11 16:49:33,295  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=220
[INFO] 2016-12-11 16:49:33,302  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=230
[INFO] 2016-12-11 16:49:33,309  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=240
[INFO] 2016-12-11 16:49:33,313  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=250
[INFO] 2016-12-11 16:49:33,319  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=260
[INFO] 2016-12-11 16:49:33,325  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=270
[INFO] 2016-12-11 16:49:33,329  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=280
[INFO] 2016-12-11 16:49:33,336  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=290
[INFO] 2016-12-11 16:49:33,342  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=300
[INFO] 2016-12-11 16:49:33,348  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=310
[INFO] 2016-12-11 16:49:33,355  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=320
[INFO] 2016-12-11 16:49:33,365  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=330
[INFO] 2016-12-11 16:49:33,375  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=340
[INFO] 2016-12-11 16:49:33,384  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=350
[INFO] 2016-12-11 16:49:33,392  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=360
[INFO] 2016-12-11 16:49:33,404  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=370
[INFO] 2016-12-11 16:49:33,414  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=380
[INFO] 2016-12-11 16:49:33,428  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=390
[INFO] 2016-12-11 16:49:33,441  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=400
[INFO] 2016-12-11 16:49:33,456  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=410
[INFO] 2016-12-11 16:49:33,470  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=420
[INFO] 2016-12-11 16:49:33,486  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=430
[INFO] 2016-12-11 16:49:33,505  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=440
[INFO] 2016-12-11 16:49:33,525  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=450
[INFO] 2016-12-11 16:49:33,545  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=460
[INFO] 2016-12-11 16:49:33,568  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=470
[INFO] 2016-12-11 16:49:33,595  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=480
[INFO] 2016-12-11 16:49:33,624  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=490
[INFO] 2016-12-11 16:49:33,650  Requesting to http://www.baidu.com/s?wd=site:garena.com&pn=500
[INFO] 2016-12-11 16:49:50,941  New domain was found by BingPlugin: intl.garena.com
[INFO] 2016-12-11 16:49:50,941  New domain was found by BingPlugin: kbm.fo3.garena.com
